No,Answer Granularity,PIC,Question,Answer,Law,Chapter,Article,Subsection,Letter (1st level)
1,Huruf,Douglas/Fariz,Permohonan pengesahan RPTKA memuat rencana apa?,rencana penyerapan tenaga kerja Indonesia setiap tahun,PP 34/2021,3,12,2,h
2,Huruf,Douglas/Fariz,Laporan realisasi apa yang diperlukan dalam perpanjangan pengesahan RPTKA?,laporan realisasi pelaksanaan pendidikan dan pelatihan kerja bagi tenaga kerja Indonesia sesuai dengan kualifikasi jabatan yang diduduki oleh TKA,PP 34/2021,3,21,4,g
3,Huruf,Douglas/Fariz,Rekening siapa yang harus disiapkan pemberi kerja TKA untuk pengesahan RPTKA?,rekening koran/tabungan TKA atau Pemberi Kerja TKA.,PP 34/2021,3,14,3,f
4,Huruf,Douglas,Bagian pejabat imigrasi mana yang melaksanakan pengawasan penggunaan TKA?,"Pejabat imigrasi yang bertugas di bidang pengawasan dan penindakan keimigrasian,",PP 34/2021,6,35,1,b
5,Huruf,Fariz,Apakah lembaga keagamaan wajib membayar DKPTKA?,"Kewajiban membayar DKPTKA tidak berlaku bagi:
e. lembaga keagamaan, dan",PP 34/2021,3,25,1,e
6,Huruf,Fariz,Dokumen surat pernyataan apa yang harus dilampirkan dalam penyampaian data calon TKA?,"e. surat pernyataan sebagai penjamin TKA, dan",PP 34/2021,3,14,3,e
7,Huruf,Fariz,TKA pada sektor mana yang boleh dipekerjakan oleh beberapa pemberi kerja TKA untuk jabatan yang sama?,"b. TKA pada sektor pendidikan vokasi dan
pelatihan vokasi, sektor ekonomi digital, dan
sektor migas bagi kontraktor kontrak kerja
sama.",PP 34/2021,2,5,1,b
8,Huruf,Douglas,Bagaimana kewajiban Pemberi Kerja TKA terkait pemulangan TKA ke negara asalnya?,"Pemberi Kerja TKA wajib:
c. memulangkan TKA ke negara asalnya setelah perjanjian kerjanya berakhir.",PP 34/2021,2,7,1,c
9,Huruf,Douglas,Apakah pegawai diplomatik memerlukan Pengesahan RPTKA?,"Pengesahan RPTKA sebagaimana dimaksud dalam Pasal 16 tidak berlaku bagi:
b. pegawai diplomatik dan konsuler pada kantor perwakilan negara asing",PP 34/2021,3,19,1,b
10,Huruf,Douglas,Bagaimana sanksi penghentian sementara proses permohonan Pengesahan RPTKA untuk pelanggaran fasilitasi pendidikan dan pelatihan bahasa Indonesia kepada TKA?,"Sanksi penghentian sementara proses permohonan Pengesahan RPTKA sebagaimana dimaksud dalam Pasal 36 ayat (1) huruf b dikenakan kepada Pemberi Kerja TKA yang melanggar ketentuan:
a. tidak memfasilitasi pendidikan dan pelatihan bahasa Indonesia kepada TKA sebagaimana dimaksud dalam Pasal 7 ayat (2);",PP 34/2021,7,39,1,a
